Review,Sentiment
" my suzuki reno is the second suzuki i have owned.  i also currently own an xl-.  i love this car.  the interior is set up great and there is plenty of room for me and the kids.  the sound system rocks and the ride is as smooth as silk.  the braking with the  disk brakes is sharp and the speed sensitive steering is awesome...especially in parking lots etc.  the only knock i have so far is the gas mileage isnt great.  hopefully that will improve as the car gets broken in better.  i highly recommend this vehicle to those looking for a small reliable car!  you cant beat the  year / , mile warranty either!",good
" we recently purchased a new  suzuki reno.  we are very pleased with our purchase.  we love how quiet and relaxing it was to drive/ride in.  the gas mileage is pretty good (mpg).  we also own a  geo metro so were big on gas mileage.  we were complaining about wanting more room on longer trips and wanting  doors.  so we very pleased with the roomy interior, safety features, and the hatchback style.  the cargo room is something we have been wanting more of and we are thrilled!  we cant wait to go on our first camping trip!",good
" hello, i purchased my suzuki reno just about a month ago and i have had nothing but great compliments from everyone. if you are looking for a good reliable car this is it.  for all the standard features that came with it, it was a great buy. i realy enjoy driving it. for as small as it looks it has a lot of room in the inside. i looked around at a lot of cars , but the suzuki reno had everthing that a lot more expensive cars didnt for the very reasonable price. yes it may not get top gas mileage, but it gets good mileage. i live where it snows and it just snowed a few days ago, it drove and handled very well. all i can say is before you make up your mind on a car, do yourself a favor go test drive a reno!",good
" great little car that is inexpensive and fun to drive!  if youre looking for an inexpensive / economical yet stylish little car i highly recommend it  mileage has been about  in combined highway / city driving and as high as  in straight highway.  thats not to shabby.  power is average but adequate and i concur with the professional reviewers that recommend the  speed over the automatic, it couples the power to the wheels much better than the auto.  styling does turn some heads and ive been asked about it from a few people. interior is good and functional. list of standard features is great but has no cruise control standard which is strange.  im pleased, this is a great commuter car.",good
" although i was impressed with the reno lxs ride, features, performance, and quiet cabin, the following items turned me away.  . very weak ac, which i found in all three renos i drove. sub-par at best.  . poorly designed sunroof operation, with no ""one-touch"" closing, requiring you to keep a finger on the button and your eyes on the sunroof as it closes, meaning having to take your eyes off the road to make sure it stops and seals where it should instead of going into vent mode. frustrating, and a safety hazard while driving.  . tight rear storage. not enough lateral room for my guitar cases without putting seatbacks down. that means no passengers.  . sub-par gas mileage  no thanks.",bad
 this car has been great. the ride is quite an smooth and the build quility is high.  the seats are very comfortable.,good
" ok guys heres the story and the word from someone who knows.  listen up, this is a fantastic car.  it has tons of standard upgrades that other cars makers charge an arm and a leg for. it handles great, looks very european and very cool, and it comes with a cd/mp player  speaker system - standar ! i highly recommend getting the -speed manual transmission over automatic. the manual will give you more power, more control, and its a heck of lot quieter than the automatic. take my word for it, youll love the car.  i looked at the honda civic, hyundai, and the scion tc; and the suzuki reno beats them all hands down. the quality is second to none. thats the story and the word.",good
" ive had this vehicle for about seven months, and they have been great! the car handles beautifully and i love the sound of the engine reving up. in the city i cant drive so fast but on a recent trip to las vegas i had fun! handles curves nicely, great on inclines, and great mileage for gas! ",good
" nice clean lines easy to drive , even for me being ft.lots of room. this car doesnt wear you out on long road trips . ive driven it to las vegas from la, was very smooth, quiet and relaxing to drive. even at speeds in excess of mph..",good
" i love my car, its fun to drive and looks good as well.",good
" i just purchased my reno a month ago and have really enjoyed driving it. while not as good as my focus in the handling department, the ride quality seems to be on par. once you get used to the not so tight handling, you can have fun in this car. i would recommend the reno to anyone who wants a comfortable, affordable vehicle for the daily commute. the standard features are awesome, but i would recommend skipping the automatic, unless you like slow acceleration and a buzzy engine.",good
" ive owned this reno for about  months now and iam very pleased. gas mileage is averageing /mpg. (thats city/hwy average mixed)my family fits decently.  adults, im "" , and  kids. gabriella is still in a car seat also. as for the cars power, you would accually think this car had a larger engine. ive got the speed manual. the only real downfall ive noticed is pedal spacing. i have trouble hitting  pedals at once. all in all, im pleased. this is a far cry better than getting  - /mpg in my full-sized conversion van. until gas goes down this is ,i feel, good transportation.                        dwayne h.",good
" i really enjoy this car in just about every department,except the air conditioner. i have had it back to the dealer twice and it doesnt  cool the interior unless its under  degrees. has anyone else had a problem on warm/hot days getting this car cooled down inside??? im really frustrated..",good
" you couldnt find a better car for less money than the suzuki reno. it has all the fixings of a luxury car at an economic price. if you like that go test drive one, pt for the manual transmission.  you wont be sorry.",good
 the vehicle is very easy to handle on the road. drives smooth. not a very big car but plenty of room. great looks. two thumbs up!,good
" we needed a car with more interior room than our previous hyundai accent, which otherwise had been a great car.  after shopping around we chose the reno.  we received a lot of rebates with this car and found all of its features very intriguing.  so far the car has been great, even though we only have the base model it has power everything and a/c.  the gas mileage is a little disappointing, but is in no way terrible.  all in all a great car so far!",good
 i love this car. it drives so smooth.  i had one car on my mind for the last year and well it was not this car but when i saw it i had to test drive it and fell in love with it.,good
" this is a great car if you live in a state with little snow, and dont mind the terrible gas mileage.  while it is fun to drive, had i known these two factors were as bad as they are i wouldt have bought this car.  also there is no good place to store cds and the glove compartment is tiny.",good
 i looked at what seemed liked hundreds of cars and this car was the only one that stuck in my mind.  i purchased the car and everyone i know has fallen in love with it and what makes it even better is the people at the dealership. im already looking for another suzuki for my wife.,good
" i bought this car few days ago and i wanted to share how excited i was driving this car. from afar the european design catches the drivers eyes. very roomy, sporty, strongly built, with a predictable steering when strolling or cruising on  highway. high quality for the crafted interior as well as the sound system. comfort gets a  as well. the base model comes with a lot of ""power everything"". the engine performs outstanding. i think it is a great, great value for the money.",good
" i just got my reno and am pleased. a few things need to be changed but overall its a great car. the main selling point of any suzuki is the warranty.  you cant beat  year/, miles.  plus, if you are a loyal customer to the dealer for your services, you get free tires as long as you own it.  for a base model, it has a lot more than any other base model you can get.  we were looking for budget...and thats what we got.  but this is by far the best bang for your buck as far as dependability goes.  power isnt all there.  my  prelude puts the reno to shame in that aspect.  but all in all its a nice car with a lot of benefits you shouldnt pass up if youre on a budget.",good
" i just got my reno and am pleased. a few things need to be changed but overall its a great car. the main selling point of any suzuki is the warranty.  you cant beat  year/, miles.  plus, if you are a loyal customer to the dealer for your services, you get free tires as long as you own it.  for a base model, it has a lot more than any other base model you can get.  we were looking for budget...and thats what we got.  but this is by far the best bang for your buck as far as dependability goes.  power isnt all there.  my  prelude puts the reno to shame in that aspect.  but all in all its a nice car with a lot of benefits you shouldnt pass up if youre on a budget.",good
" although i was impressed with the reno lxs ride, features, performance, and quiet cabin, the following items turned me away.  . very weak ac, which i found in all three renos i drove. sub-par at best.  . poorly designed sunroof operation, with no ""one-touch"" closing, requiring you to keep a finger on the button and your eyes on the sunroof as it closes, meaning having to take your eyes off the road to make sure it stops and seals where it should instead of going into vent mode. frustrating, and a safety hazard while driving.  . tight rear storage. not enough lateral room for my guitar cases without putting seatbacks down. that means no passengers.  . sub-par gas mileage  no thanks.",good
" i purchased my esteem  cylinder manual transmission w cruise control.  power windows , c.d. player and cold air. in . a dealer left over. listed at $, i purchased this new car with under  miles gently used demo for , dollars, ""a"" title and , mile warranty which i never used.  brakes,  tires, oil changes,  wiper blades and gas. were the norm. not until about , did i have a manual transmission failure resulting in a total replacement.  not to bad for a car at that time being  yrs old and the replacement with labor was less than , dollars.  its sad to say goodbye but she was recently totalled and i must say withstood a major hit from the rear. suzuki should be proud of this defunct make and model.  she stood the test of time. if you are able to acquire one check the frame as that was the only recall item i am aware of and mine had no deterioration.  great run. thanks for reading.",good
" traded my gas guzzling blazer for this car. this is the second esteem i have owned. the first was a . the cv axles are only good it seems for - k miles. comfortable, not a powerhouse by any means but good on gas and the a/c is freezing cold. i have almost k on it currently and have had really good luck with suzuki products as a cheaper alternative to honda with the same reliability. folks, keep up maintenance to make it last. simple. regular oil changes, tune ups etc. that simple. fun to drive, i have a bad back at age  so the firm seats are great. the factory cd player isnt working but the radio does. i really have no complaints. great on gas.",good
" purchased new for $, with sticker reading $, and love the car. its sporty drive ( speed) and great economy  mpg or more place it next to my suzuki motorcyle in fun. oil changes every  miles and original spark plugs at , miles and running like a top. rust is starting on door bottoms, and had to replace the front sub frame this month (big bucks). still cant complain and wish i could get it back from my daughter.",good
" ive owned this little car for almost  years and drive it to and from work and around town everyday. it runs flawlessly and is actually kinda fun to drive, for a basic economy car. the engine is the best component, typical as with suzuki motorcycles. clarion stero is junk but easily replaced. ok its not a lexus but i have had absolutely no problems, its great on gas and i intend and expect to drive it to k+ with only normal good maintenance practices. what more could someone expect from any car especially a value-priced underrated bargain. i will surely buy another suzuki when the time comes.",good
" this car runs very good and has been very reliable. the car came fully loaded with the aero pkg, kyb sport spsn, yokohama advans and sportline alloys. this was a limited edition. at k this car runs and handles very well, i use castrol syntec w in engine and royal purple in tranny. i wash the car with meguires and wax with zymol. the color is deep space blue. i turned the front rotors x and replaced the pads also. i change engine oil and filter every k miles, since tranny does not have a filter i change tranny fluid every k miles, mpg highway avg  (advan "" tires) mpg city  avg ",good
" ive owned my esteem for  years and have never had any major mechanical problems with it and it handles like a champ. i like my little car and its great in city traffic and tight spots. i moved from florida to chicago and was curious to see how it would handle in ice and snow since it is very light and can be hard to handle in high winds. in snow/ice, it slides a lot in turns. the engine can be noisy but i always have the radio on, so its not an issue for me personally. i replaced the factory cd player because mine stopped reading cds and my intermittent windshield wipers gave out soon after purchase and now ive noticed that my wipers dont reset themselves when they turn off. ",good
" we bought our car brand new in march of . we now have , miles on it. the only major repair we needed to make on it was in  when we replaced the ball bearings and in early  when we replaced the water pump. our car - we call her suzy suzuki - has been a great investment for us. our next car for sure will a suzuki.",good
" i bought my suzuki esteem used with less than , miles on it. the engine light went on and it took a while for service to figure out the problem.  it ended up being a recall issue. i havent had a major problem with my car since. i have been getting great mileage, i average  around town and  on the highway. i am very happy with my purchase.",good
" i didnt get the lemon one! only use it for work. i notice though that the first time i filled up the gas tank full, the needle was on ""e."" will not suggest for very long travel time.   only get about mpg rather than mpg as noted by epa.",good
" i dont know what the other reviewers are doing to their cars, maybe abusing them, but i have had nothing go wrong with this car whatsoever.   my parents had this same car (wagon version) and they had no troubles either.  this is not a hot rod car. its a car to get around town, and it does that very well.  by the way, my parents were so impressed with the esteem, when they traded it in they bought another suzuki, and have had no trouble with it either.",good
" it was okay when i test drive it. the sales manager accepted my offer and i paid really cheap with very low mileage. the following day ""engine check"" light came on, but the car is still running. i hope nothing major repair and more to come.",good
